ms_nr,year,month,min_gwl,mean_gwl,max_gwl
sl-00539,1990,1,190.8896774193548,190.8896774193548,190.8896774193548
sl-00539,1990,2,190.915,190.915,190.915
sl-00539,1990,3,190.8945161290322,190.8945161290322,190.8945161290322
sl-00539,1990,4,190.9713333333333,190.9713333333333,190.9713333333333
sl-00539,1990,5,190.98193548387096,190.98193548387096,190.98193548387096
sl-00539,1990,6,191.021,191.021,191.021
sl-00539,1990,7,191.0306451612903,191.0306451612903,191.0306451612903
sl-00539,1990,8,191.0167741935484,191.0167741935484,191.0167741935484
sl-00539,1990,9,191.00266666666664,191.00266666666664,191.00266666666664
sl-00539,1990,10,191.0283870967741,191.0283870967741,191.0283870967741
sl-00539,1990,11,190.99966666666663,190.99966666666663,190.99966666666663
sl-00539,1990,12,191.01935483870963,191.01935483870963,191.01935483870963
sl-00539,1991,1,190.9977419354838,190.9977419354838,190.9977419354838
sl-00539,1991,2,191.04035714285712,191.04035714285712,191.04035714285712
sl-00539,1991,3,191.0332258064516,191.0332258064516,191.0332258064516
sl-00539,1991,4,191.00866666666664,191.00866666666664,191.00866666666664
sl-00539,1991,5,190.99774193548384,190.99774193548384,190.99774193548384
sl-00539,1991,6,190.9946666666666,190.9946666666666,190.9946666666666
sl-00539,1991,7,190.9796774193548,190.9796774193548,190.9796774193548
sl-00539,1991,8,190.9367741935484,190.9367741935484,190.9367741935484
sl-00539,1991,9,190.90666666666667,190.90666666666667,190.90666666666667
sl-00539,1991,10,190.92129032258063,190.92129032258063,190.92129032258063
sl-00539,1991,11,190.897,190.897,190.897
sl-00539,1991,12,190.83838709677423,190.83838709677423,190.83838709677423
sl-00539,1992,1,190.82645161290324,190.82645161290324,190.82645161290324
sl-00539,1992,2,190.80137931034488,190.80137931034488,190.80137931034488
sl-00539,1992,3,190.8032258064516,190.8032258064516,190.8032258064516
sl-00539,1992,4,190.7453333333333,190.7453333333333,190.7453333333333
sl-00539,1992,5,190.6990322580645,190.6990322580645,190.6990322580645
sl-00539,1992,6,190.6653333333333,190.6653333333333,190.6653333333333
sl-00539,1992,7,190.6229032258065,190.6229032258065,190.6229032258065
sl-00539,1992,8,190.60290322580647,190.60290322580647,190.60290322580647
sl-00539,1992,9,190.56,190.56,190.56
sl-00539,1992,10,190.5690322580645,190.5690322580645,190.5690322580645
sl-00539,1992,11,190.51366666666664,190.51366666666664,190.51366666666664
sl-00539,1992,12,190.49580645161285,190.49580645161285,190.49580645161285
sl-00539,1993,1,190.5232258064516,190.5232258064516,190.5232258064516
sl-00539,1993,2,190.5642857142857,190.5642857142857,190.5642857142857
